Posicao;Nota;Nome;Gênero;Duracao;Faixa Etária;Ano
209; 8.2 ;Alexander;Drama;188;14;1982
210; 8.1 ;Antes do Amanhecer;Drama,Romance;105;12;1995
211; 8.1 ;O Jogo da Imitação;Biografia,Drama,Thriller;114;12;2014
212; 8.1 ;Tubarão;Drama,Thriller;124;14;1975
213; 8.1 ;Matar ou Morrer;Drama,Thriller,Western;85;12;1952
214; 8.2 ;A Batalha de Argel;Crime,Drama,História;121;14;1966
215; 8.1 ;O Exterminador do Futuro;Ação,Sci-Fi;107;14;1984
216; 8.1 ;Feitiço do Tempo;Comédia,Fantasia,Romance;101;0;1993
217; 8.1 ;Harry Potter e as Relíquias da Morte: Parte 2;Aventura,Fantasia,Mistério;130;14;2011
218; 8.1 ;O Discurso do Rei;Biografia,Drama,História;118;12;2010
219; 8.1 ;Memórias de um Assassino;Crime,Drama,Mistério;130;0;2003
220; 8.1 ;O Grande Mestre;Ação,Biografia,Drama;106;0;2008
221; 8.1 ;Interlúdio;Drama,Film-Noir,Romance;101;0;1946
222; 8.1 ;Monstros S.A.;Animação,Aventura,Comédia;92;0;2001
223; 8.1 ;Rocky: Um Lutador;Drama,Sport;119;12;1976
224; 8.1 ;Um Dia de Cão;Crime,Drama;125;14;1975
225; 8.1 ;Barry Lyndon;Aventura,Drama,História;184;0;1975
226; 8.1 ;O Ódio;Crime,Drama;98;0;1995
227; 8.3 ;O Que o Coração Deseja;Comédia,Drama;183;0;2001
228; 8.1 ;O Show de Truman;Drama;103;12;1998
229; 8.1 ;Mensageiro do Diabo;Crime,Drama,Film-Noir;92;14;1955
230; 8.1 ;Quem Tem Medo de Virginia Woolf?;Drama,Romance;131;0;1966
231; 8.1 ;Por Um Punhado de Dólares;Ação,Western;99;14;1964
232; 8.2 ;Lagaan: Era uma Vez na Índia;Aventura,Drama,Musicalal;224;0;2001
233; 8.1 ;Piratas do Caribe: A Maldição do Pérola Negra;Aventura,Fantasia;143;14;2003
234; 8.1 ;O Castelo no Céu;Animação,Aventura,Família;124;0;1986
235; 8.0 ;Jurassic Park: O Parque dos Dinossauros;Aventura,Sci-Fi,Thriller;127;0;1993
236; 8.1 ;X-Men: Dias de um Futuro Esquecido;Ação,Aventura,Sci-Fi;131;12;2014
237; 8.1 ;A Estrada da Vida;Drama;108;0;1954
238; 8.1 ;Histórias Cruzadas;Drama;146;12;2011
239; 8.1 ;A Princesa e o Plebeu;Comédia,Romance;118;0;1953
240; 8.2 ;Relatos Selvagens;Comédia,Drama,Thriller;122;0;2014
241; 8.1 ;À Beira do Abismo;Crime,Film-Noir,Mistério;114;0;1946
242; 8.1 ;Os Suspeitos;Crime,Drama,Mistério;153;16;2013
243; 8.1 ;Primavera, Verão, Outono, Inverno... E Primavera;Drama;103;0;2003
244; 8.1 ;O Samurai;Crime,Drama,Mistério;105;0;1967
245; 8.0 ;A Primeira Noite de um Homem;Comédia,Drama,Romance;106;14;1967
246; 8.1 ;Papillon;Biografia,Crime,Drama;151;0;1973
247; 8.2 ;Underground - Mentiras de Guerra;Comédia,Drama,Guerra;170;0;1995
248; 8.0 ;A Bela e a Fera;Animação,Família,Fantasia;84;0;1991
249; 8.1 ;Solaris;Drama,Sci-Fi;167;0;1972
250; 8.1 ;A Fraternidade É Vermelha;Drama,Mistério,Romance;99;0;1994
